unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.55511E+12,13-04-2019 00:00,XLM/USDT,0.11322,0.11675,0.11186,0.11501,15869310.2,1814406.354,13709
1.55503E+12,12-04-2019 00:00,XLM/USDT,0.11433,0.11596,0.10864,0.11318,26059011.8,2936783.751,21233
1.55494E+12,11-04-2019 00:00,XLM/USDT,0.12564,0.12606,0.10953,0.11438,42902446,4975058.945,31674
1.55485E+12,10-04-2019 00:00,XLM/USDT,0.12422,0.12876,0.12356,0.12578,25892636,3256266.692,20142
1.55477E+12,09-04-2019 00:00,XLM/USDT,0.12956,0.12986,0.1226,0.12417,27415014.6,3442102.088,23251
1.55468E+12,08-04-2019 00:00,XLM/USDT,0.13222,0.1355,0.12304,0.12969,50640541,6592311.951,38666
1.5546E+12,07-04-2019 00:00,XLM/USDT,0.12488,0.13386,0.1232,0.13226,53573464.7,6926057.55,35505
1.55451E+12,06-04-2019 00:00,XLM/USDT,0.12695,0.12831,0.11757,0.12492,42008489.7,5254107.305,26050
1.55442E+12,05-04-2019 00:00,XLM/USDT,0.1172,0.12975,0.11709,0.12697,52818284.2,6615827.283,37292
1.55434E+12,04-04-2019 00:00,XLM/USDT,0.12045,0.12468,0.11432,0.11722,62356516.9,7462958.403,43472
1.55425E+12,03-04-2019 00:00,XLM/USDT,0.12113,0.13344,0.1132,0.12038,143208596,17943691.16,76139
1.55416E+12,02-04-2019 00:00,XLM/USDT,0.11018,0.12212,0.10973,0.12111,109742872.5,12764541.21,57156
1.55408E+12,01-04-2019 00:00,XLM/USDT,0.10823,0.11129,0.10732,0.11017,31704411.6,3485174.722,21768
1.55399E+12,31-03-2019 00:00,XLM/USDT,0.10725,0.1083,0.10588,0.10824,14506607.9,1556382.184,11265
1.5539E+12,30-03-2019 00:00,XLM/USDT,0.10748,0.1077,0.1043,0.10725,27947125.3,2968937.543,21244
1.55382E+12,29-03-2019 00:00,XLM/USDT,0.10646,0.10843,0.10553,0.10752,25013225,2676725.889,15170
1.55373E+12,28-03-2019 00:00,XLM/USDT,0.10761,0.10761,0.1031,0.1065,25023379.7,2643842.305,15881
1.55364E+12,27-03-2019 00:00,XLM/USDT,0.10263,0.10797,0.10212,0.1076,47760605.2,5050644.479,25164
1.55356E+12,26-03-2019 00:00,XLM/USDT,0.10012,0.10399,0.09731,0.10258,49344109.6,4970613.028,25197
1.55347E+12,25-03-2019 00:00,XLM/USDT,0.10435,0.10594,0.0988,0.10014,48379196.6,4933225.477,23372
1.55339E+12,24-03-2019 00:00,XLM/USDT,0.10679,0.10683,0.10297,0.10437,28312020.3,2969740.862,15851
