unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.56341E+12,18-07-2019 00:00,XRP/USDT,0.31032,0.327,0.30257,0.32035,129902403.6,41034748.08,137000
1.56332E+12,17-07-2019 00:00,XRP/USDT,0.29545,0.32365,0.29264,0.31032,159617507.6,49013568.84,167509
1.56324E+12,16-07-2019 00:00,XRP/USDT,0.31287,0.32032,0.286,0.29543,162767430.3,49219244.81,162253
1.56315E+12,15-07-2019 00:00,XRP/USDT,0.30366,0.32376,0.29474,0.31287,160631099.6,49982145.32,159417
1.56306E+12,14-07-2019 00:00,XRP/USDT,0.33214,0.33549,0.2992,0.30366,132780312.2,41832098.15,132443
1.56298E+12,13-07-2019 00:00,XRP/USDT,0.34336,0.34439,0.32359,0.33206,86057978.8,28675157.34,89325
1.56289E+12,12-07-2019 00:00,XRP/USDT,0.32888,0.34988,0.31968,0.34336,126888778,42835211.79,115413
1.5628E+12,11-07-2019 00:00,XRP/USDT,0.36141,0.36285,0.31574,0.32875,168118356.8,55859987.09,161574
1.56272E+12,10-07-2019 00:00,XRP/USDT,0.39361,0.39646,0.34502,0.36154,140899188,51886276.26,144363
1.56263E+12,09-07-2019 00:00,XRP/USDT,0.40072,0.40725,0.38875,0.39362,84918198.9,33777741.16,93981
1.56254E+12,08-07-2019 00:00,XRP/USDT,0.39651,0.403,0.39114,0.40073,68579169.6,27221148.63,78222
1.56246E+12,07-07-2019 00:00,XRP/USDT,0.39031,0.4007,0.38683,0.39651,65893195.7,25937872.46,80093
1.56237E+12,06-07-2019 00:00,XRP/USDT,0.3787,0.4099,0.37826,0.39031,94972192.3,37452447.11,99868
1.56228E+12,05-07-2019 00:00,XRP/USDT,0.38722,0.38825,0.37325,0.37881,71395559.6,27193614.58,84023
1.5622E+12,04-07-2019 00:00,XRP/USDT,0.40458,0.4052,0.385,0.38723,71298699.9,28153103.43,85963
1.56211E+12,03-07-2019 00:00,XRP/USDT,0.39787,0.40666,0.3934,0.40456,78793554.4,31538551.19,90500
1.56203E+12,02-07-2019 00:00,XRP/USDT,0.40694,0.41125,0.38386,0.39794,105939905.9,41865559.99,117094
1.56194E+12,01-07-2019 00:00,XRP/USDT,0.39637,0.42298,0.38804,0.40691,135870243.9,54871430.13,138563
1.56185E+12,30-06-2019 00:00,XRP/USDT,0.42597,0.42859,0.3954,0.3962,118288754.1,48657002.57,126465
1.56177E+12,29-06-2019 00:00,XRP/USDT,0.426,0.43,0.40392,0.4262,128452215.5,53627022.71,137188
1.56168E+12,28-06-2019 00:00,XRP/USDT,0.41061,0.4272,0.40582,0.4261,139943710.4,57991632.69,150399
1.56159E+12,27-06-2019 00:00,XRP/USDT,0.46773,0.47176,0.3951,0.41049,300234945.9,128329754.9,262650
1.56151E+12,26-06-2019 00:00,XRP/USDT,0.46809,0.4968,0.453,0.46805,287100067.5,136848810.8,257473
1.56142E+12,25-06-2019 00:00,XRP/USDT,0.47391,0.47654,0.455,0.46809,156717428.9,73261711.58,135540
1.56133E+12,24-06-2019 00:00,XRP/USDT,0.47015,0.47585,0.45,0.47385,116373926.2,53803330,112312
